unix_time,temperature,humidity
1677181874,66.3,46.3
1677182102,66.5,46.4
1677182230,66.7,46.0
1677182320,67.2,45.7
1677182667,67.6,45.2
1677183292,67.3,44.8
1677183974,67.2,44.9
1677184477,67.4,44.7
1677184730,67.5,44.4
1677184795,67.4,44.4
1677184825,68.1,57.8
1677184830,69.0,64.1
1677184836,69.8,67.5
1677184841,70.4,69.2
1677184846,71.0,69.6
1677184891,70.3,42.0
1677184917,69.7,42.5
1677184947,69.1,42.8
1677184977,68.6,43.1
1677185018,68.0,43.5
1677185068,67.5,43.8
1677185174,67.0,44.3
1677188233,67.2,49.6
1677188395,67.4,49.4
1677188667,67.7,49.0
1677188733,67.7,49.1
1677189053,67.5,48.5
1677189163,67.4,48.6
1677189341,67.4,48.3
1677189579,67.0,48.3
1677189784,67.0,48.1
1677190371,67.0,47.3
1677190460,67.0,47.2
1677190518,67.0,47.2
1677190718,67.0,47.0
1677191142,67.5,46.0
1677191209,67.5,46.0
1677191558,67.3,46.0
1677191671,67.3,46.2
1677191794,67.3,46.0
1677191931,67.2,46.0
1677192890,67.8,44.8
1677193407,67.2,45.5
1677194647,66.7,46.2
1677195235,66.2,47.4
1677196575,66.1,51.8
1677196585,66.9,55.5
1677196590,67.4,59.1
1677196596,68.0,59.7
1677196601,68.5,53.1
1677196611,69.2,50.7
1677196631,69.8,46.9
1677196672,69.3,43.4
1677196722,68.7,43.6
1677196778,68.2,44.7
1677196813,67.7,46.5
1677197079,67.2,43.7
1677198105,66.5,47.3
1677198331,66.0,44.7
1677199636,66.5,44.2
1677199736,66.7,44.4
1677200215,66.8,44.4
1677200378,66.6,44.5
1677200721,66.9,44.3
1677200927,67.1,44.1
1677201023,67.0,44.1
1677201095,66.8,44.2
1677201110,67.3,56.0
1677201115,69.1,74.7
1677201121,71.2,82.9
1677201126,73.2,80.1
1677201131,74.6,58.4
1677201136,75.5,46.3
1677201152,76.0,38.4
1677201167,75.4,37.7
1677201177,76.1,66.8
1677201182,75.1,85.5
1677201188,74.6,72.8
1677201198,74.0,45.5
1677201213,73.3,40.6
1677201228,72.6,40.3
1677201244,71.9,40.4
1677201264,71.3,40.7
1677201284,70.7,41.1
1677201304,70.1,41.5
1677201335,69.6,42.0
1677201365,69.0,42.4
1677201400,68.5,42.7
1677201456,68.0,43.2
1677201531,67.5,43.6
1677202265,68.0,43.3
1677202315,68.5,42.0
1677202476,69.0,41.8
1677202736,69.6,43.0
1677202952,70.1,42.1
1677203029,70.1,42.3
1677203240,70.7,43.8
1677203317,70.9,42.9
1677203588,72.0,59.3
1677203593,72.8,54.7
1677203604,73.5,43.7
1677203649,73.0,41.6
1677203684,72.5,42.1
1677203800,71.9,42.7
1677204016,71.8,42.4
1677204327,71.2,42.1
1677204433,70.7,42.4
1677204534,70.2,42.6
1677204735,69.7,42.7
1677205669,69.3,42.3
1677205880,68.8,42.3
1677207015,68.2,41.7
1677208220,67.7,41.7
1677210213,67.2,43.0
1677210449,66.7,44.9
1677211719,66.1,44.8
1677212538,66.9,55.8
1677212543,67.9,55.0
1677212553,68.8,45.5
1677212629,68.2,42.6
1677212674,67.7,43.0
1677212750,67.1,43.3
1677212825,66.6,43.6
1677213087,66.1,44.0
1677215572,68.0,62.0
1677215577,69.3,52.9
1677215582,70.1,46.6
1677215592,70.7,42.1
1677215618,70.2,40.8
1677215638,69.6,41.1
1677215668,69.0,41.6
1677215694,68.4,42.0
1677215729,67.9,42.4
1677215795,67.4,43.0
1677215880,66.8,43.4
1677216342,66.9,42.8
